Semestre;Ano;Codigo;Disciplina;Tipo;CH;Pre-requisito;Ementa;Topicos
1;1º Ano;BFV;Biologia e Fisiologia Vegetal;Agronomia;80;—;Célula vegetal, tecidos, fotossíntese, respiração, transpiração e nutrição mineral. Fenologia das culturas. Relação solo–planta–atmosfera. Base científica indispensável para interpretar dados de sensores, satélites e modelos de crescimento.;Organização celular e tecidos vegetais | Fotossíntese e respiração — balanço de carbono da lavoura | Transpiração e potencial hídrico — base fisiológica da irrigação | Nutrição mineral: macro e micronutrientes | Fenologia: estádios de desenvolvimento (escala BBCH) | Estresses abióticos: seca, calor e salinidade | Como NDVI, clorofila e índices espectrais 'enxergam' a planta
1;1º Ano;SOL;Pedologia e Ciência do Solo;Agronomia;80;—;Formação, morfologia e classificação dos solos do Cerrado. Propriedades físicas, químicas e biológicas. Análise de solo e interpretação de laudos. Base para sensores de solo, mapas de variabilidade e recomendação de adubação.;Horizontes do solo — perfil típico do Cerrado goiano | Granulometria: areia, silte e argila — texturas e manejo | Propriedades químicas: CTC, V%, pH, matéria orgânica | Leitura e interpretação de laudo de análise de solo | Recomendação de calagem e adubação (tabela de Goiás) | Sensores de solo: umidade volumétrica e condutividade elétrica | Variabilidade espacial — fundamento da agricultura de precisão
1;1º Ano;CLM;Climatologia e Agrometeorologia;Agronomia;60;—;Elementos e fatores climáticos. Evapotranspiração. Balanço hídrico. Zoneamento agroclimático. El Niño e La Niña. Estações meteorológicas automáticas e APIs climáticas para suporte à decisão agronômica.;Temperatura, precipitação, umidade e radiação solar | Evapotranspiração de referência — Penman-Monteith (FAO 56) | Balanço hídrico de Thornthwaite aplicado a culturas | Zoneamento agroclimático do Cerrado — riscos por cultura | El Niño / La Niña — impacto no planejamento de safra em Goiás | Estações automáticas: leitura de dados do INMET | APIs climáticas: Open-Meteo, NASA POWER e INMET
1;1º Ano;MAT;Matemática Instrumental e Raciocínio Lógico;Nivelamento;60;—;Revisão e consolidação de matemática básica essencial para o curso. Operações fundamentais, frações, porcentagens, razão e proporção, regra de três, unidades de medida. Introdução à lógica proposicional e pensamento algorítmico. Todos os exercícios usam contexto agronômico: cálculo de calagem, adubação, produtividade e conversão de unidades do campo.;Operações fundamentais: frações, decimais e porcentagem | Razão, proporção e regra de três — cálculos agronômicos | Unidades de medida: hectare, alqueire, sacas, kg/ha, L/ha | Equações de 1º grau — ponto de equilíbrio econômico da lavoura | Noções de estatística: média, mediana e desvio em dados de campo | Lógica proposicional: tabelas-verdade e conectivos | Pensamento algorítmico: resolver problemas passo a passo (sem computador)
1;1º Ano;COM;Comunicação, Leitura e Produção Textual;Nivelamento;60;—;Desenvolvimento de competências em leitura, interpretação de texto e produção escrita. Leitura de textos técnicos e científicos da área agrícola. Redação de relatórios, laudos e documentos técnicos. Comunicação oral para apresentações e defesas. Habilidade essencial para compreender documentações técnicas, redigir relatórios de campo e se comunicar com produtores.;Estratégias de leitura e interpretação de textos técnicos | Leitura de artigos científicos da área agrícola e computacional | Estrutura de relatórios técnicos e laudos agronômicos | Redação técnica: clareza, objetividade e normas ABNT | Comunicação oral: apresentações, seminários e defesas | Resumo e fichamento de textos — síntese de informação | Prática: redigir laudo de visita técnica a propriedade rural
1;1º Ano;LDG;Letramento Digital e Informática Básica;Nivelamento;80;—;Domínio prático do computador como ferramenta de trabalho. Sistema operacional, gerenciamento de arquivos e pastas, editores de texto, planilhas eletrônicas e apresentações. Navegação na internet, e-mail profissional, armazenamento em nuvem. Introdução ao terminal/linha de comando. Prepara o aluno para usar o computador com fluência antes de programar.;Sistema operacional: área de trabalho, pastas, arquivos e atalhos | Editor de texto: formatação de documentos, relatórios e laudos | Planilhas eletrônicas: fórmulas, gráficos e tabelas com dados agrícolas | Apresentações: slides profissionais para seminários e defesas | Internet: pesquisa acadêmica, Google Scholar e repositórios | E-mail profissional e armazenamento em nuvem (Google Drive) | Introdução ao terminal: navegação de pastas e comandos básicos | Prática: criar planilha de custo de produção de uma lavoura
2;1º Ano;FIT;Fitotecnia — Grandes Culturas;Agronomia;80;BFV;Manejo agronômico das principais culturas do Cerrado: soja, milho, algodão, feijão e sorgo. Cultivares, densidade, épocas de semeadura, nutrição, fitossanidade e colheita. Base para sistemas de suporte à decisão e modelos de crescimento de culturas.;Soja: cultivares, grupos de maturidade e épocas de semeadura | Milho: híbridos, exigências nutricionais e potencial produtivo | Algodão: regulação de crescimento e manejo fitossanitário | Feijão e sorgo: oportunidades na safrinha do Cerrado | Densidade e espaçamento — cálculo e ajuste por variabilidade | Estádios fenológicos (VE/R) e tomada de decisão por fase | Simuladores de crescimento: introdução ao APSIM e DSSAT
2;1º Ano;NUT;Fertilidade do Solo e Nutrição de Plantas;Agronomia;80;SOL, BFV;Dinâmica de nutrientes no solo e na planta. Calagem e gessagem. Adubação NPK e micronutrientes. Análise foliar. Recomendação por produtividade esperada e por zona de manejo. Fertilização de precisão conectada a dados geoespaciais.;CTC, saturação de bases e necessidade de calagem | Macronutrientes: N, P, K — dinâmica, perdas e recomendação | Micronutrientes: Zn, B, Cu, Mn — diagnóstico e aplicação | Análise foliar — interpretação e diagnóstico de deficiências | Adubação por zona de manejo — conectando solo ao mapa | Fertilizantes sólidos, líquidos e organominerais | Calculando recomendação de adubação com planilha e fórmulas
2;1º Ano;APP;Algoritmos e Programação com Python;Computacao;80;MAT, LDG;Lógica de programação com Python — língua franca da ciência de dados agrícola. Variáveis, estruturas de controle, funções, listas e arquivos CSV. Todo exercício resolve um problema agronômico real: balanço hídrico, recomendação de adubação, análise de produtividade.;Por que Python no agronegócio? Ecossistema e mercado | Variáveis, tipos e operadores — direto ao Python, sem pseudocódigo | Condicionais e laços — automatizar cálculos agronômicos | Funções — calcular ET₀, adubação NPK e balanço hídrico | Listas e dicionários — organizar dados de campo | Leitura e escrita de CSV — laudos e planilhas de produtividade | Projeto: calculadora de balanço hídrico por cultura e município
2;1º Ano;CEL;Introdução a Circuitos Elétricos e Eletrônica;Computacao;80;MAT;Base elétrica e eletrônica para entender sensores, atuadores e sistemas embarcados agrícolas. Lei de Ohm, circuitos básicos, sinais digitais e analógicos, transistores como chave, componentes optoeletrônicos. Prática com bancada e multímetro.;Tensão, corrente e resistência — Lei de Ohm | Circuitos série e paralelo — associação de resistores | Sinal digital vs. analógico — como os sensores de campo funcionam | Transistor como chave — base de relés e acionamentos | LDR, fotodiodo e fototransistor — sensores optoeletrônicos | Leitura de datasheets de sensores agrícolas | Prática: medir tensão e corrente em sensores reais
2;1º Ano;FCO;Fundamentos de Computação e Sistemas Operacionais;Computacao;60;LDG;Arquitetura de computadores, representação de dados e sistemas operacionais. Linux como ambiente de desenvolvimento para aplicações agrícolas. Terminal, shell script, gerenciamento de processos e arquivos. Base para trabalhar com Raspberry Pi e servidores na nuvem.;Arquitetura de Von Neumann — CPU, memória e I/O | Representação binária, hexadecimal e tipos de dados | Sistemas operacionais: processos, threads e gerência de memória | Linux essencial: terminal, navegação e permissões | Shell script — automatizar tarefas de coleta de dados | Gerenciamento de pacotes: apt, pip e ambientes virtuais | SSH e acesso remoto a Raspberry Pi no campo
3;2º Ano;FTP;Fitopatologia e Entomologia Agrícola;Agronomia;80;BFV, CLM;Doenças e pragas de importância econômica no Cerrado. Etiologia, epidemiologia e controle. Manejo Integrado de Pragas (MIP). Nível de ação econômica. Ferramentas digitais de registro e decisão. Modelos preditivos de epidemias com dados climáticos.;Triângulo da doença: hospedeiro, patógeno e ambiente | Doenças da soja: ferrugem, mofo-branco e antracnose | Doenças do milho: cercosporiose e mancha de Phaeosphaeria | Pragas: percevejos, lagarta-do-cartucho e bicudo do algodão | MIP: monitoramento com pano de batida e nível de ação | Apps de MIP: Campo Conectado e Embrapa Soja | Modelos de previsão de ferrugem com temperatura e umidade
3;2º Ano;IRG;Manejo e Irrigação;Agronomia;80;CLM, SOL;Balanço hídrico da cultura, evapotranspiração e eficiência de uso da água. Sistemas de irrigação: gotejamento, aspersão e pivô central. Automação de pivô. Sensores de umidade de solo. Manejo preciso da água com dados de campo e APIs climáticas.;Evapotranspiração real e potencial — cálculo com Python | Balanço hídrico de cultura por estádio fenológico | Pivô central: operação, eficiência e monitoramento digital | Gotejamento: dimensionamento e manejo para horticultura | Sensores FDR, TDR e tensiômetro — instalação e leitura | Automação de pivô: controladores e SCADA básico | Projeto: manejo de irrigação com dados de Open-Meteo API
3;2º Ano;PY2;Python para Análise de Dados Agrícolas;Integracao;80;APP;Pandas, NumPy e Matplotlib aplicados a dados reais do campo. Planilhas de safra, séries climáticas do INMET, laudos de solo. Limpeza, análise estatística e visualização. Primeiro consumo de API pública: IBGE Sidra e INMET.;Pandas — DataFrames com planilhas de produtividade real de Goiás | Limpeza de dados: valores ausentes e outliers no campo | Estatística descritiva: média, desvio padrão, quartis por talhão | Séries temporais de chuva e temperatura com matplotlib | Correlação entre variáveis agronômicas (solo × produtividade) | Consumo de API REST: IBGE Sidra (produção) e INMET (clima) | Projeto: painel de análise de safra com dados reais de Goiás
